Day_Index,Date_Range,Segment,Sessions
12/13/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,26
12/14/15,"Oct 1, 2015 - Jan 23, 2017",New Users,83
12/14/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,43
12/15/15,"Oct 1, 2015 - Jan 23, 2017",New Users,73
12/15/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,30
12/16/15,"Oct 1, 2015 - Jan 23, 2017",New Users,76
12/16/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,47
12/17/15,"Oct 1, 2015 - Jan 23, 2017",New Users,74
12/17/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,65
12/18/15,"Oct 1, 2015 - Jan 23, 2017",New Users,73
12/18/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,40
12/19/15,"Oct 1, 2015 - Jan 23, 2017",New Users,26
12/19/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,14
12/20/15,"Oct 1, 2015 - Jan 23, 2017",New Users,22
12/20/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,16
12/21/15,"Oct 1, 2015 - Jan 23, 2017",New Users,63
12/21/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,40
12/22/15,"Oct 1, 2015 - Jan 23, 2017",New Users,55
12/22/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,43
12/23/15,"Oct 1, 2015 - Jan 23, 2017",New Users,51
12/23/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,39
12/24/15,"Oct 1, 2015 - Jan 23, 2017",New Users,42
12/24/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,36
12/25/15,"Oct 1, 2015 - Jan 23, 2017",New Users,15
12/25/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,18
12/26/15,"Oct 1, 2015 - Jan 23, 2017",New Users,13
12/26/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,8
12/27/15,"Oct 1, 2015 - Jan 23, 2017",New Users,23
12/27/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,26
12/28/15,"Oct 1, 2015 - Jan 23, 2017",New Users,45
12/28/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,40
12/29/15,"Oct 1, 2015 - Jan 23, 2017",New Users,60
12/29/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,30
12/30/15,"Oct 1, 2015 - Jan 23, 2017",New Users,41
12/30/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,23
12/31/15,"Oct 1, 2015 - Jan 23, 2017",New Users,22
12/31/15,"Oct 1, 2015 - Jan 23, 2017",Returning Users,17
1/1/16,"Oct 1, 2015 - Jan 23, 2017",New Users,17
1/1/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,12
1/2/16,"Oct 1, 2015 - Jan 23, 2017",New Users,23
1/2/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,13
1/3/16,"Oct 1, 2015 - Jan 23, 2017",New Users,25
1/3/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,12
1/4/16,"Oct 1, 2015 - Jan 23, 2017",New Users,75
1/4/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,40
1/5/16,"Oct 1, 2015 - Jan 23, 2017",New Users,76
1/5/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,31
1/6/16,"Oct 1, 2015 - Jan 23, 2017",New Users,66
1/6/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,46
1/7/16,"Oct 1, 2015 - Jan 23, 2017",New Users,83
1/7/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,48
1/8/16,"Oct 1, 2015 - Jan 23, 2017",New Users,56
1/8/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,41
1/9/16,"Oct 1, 2015 - Jan 23, 2017",New Users,32
1/9/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,18
1/10/16,"Oct 1, 2015 - Jan 23, 2017",New Users,40
1/10/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,27
1/11/16,"Oct 1, 2015 - Jan 23, 2017",New Users,76
1/11/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,55
1/12/16,"Oct 1, 2015 - Jan 23, 2017",New Users,84
1/12/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,50
1/13/16,"Oct 1, 2015 - Jan 23, 2017",New Users,80
1/13/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,54
1/14/16,"Oct 1, 2015 - Jan 23, 2017",New Users,93
1/14/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,77
1/15/16,"Oct 1, 2015 - Jan 23, 2017",New Users,74
1/15/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,30
1/16/16,"Oct 1, 2015 - Jan 23, 2017",New Users,37
1/16/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,17
1/17/16,"Oct 1, 2015 - Jan 23, 2017",New Users,25
1/17/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,33
1/18/16,"Oct 1, 2015 - Jan 23, 2017",New Users,69
1/18/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,68
1/19/16,"Oct 1, 2015 - Jan 23, 2017",New Users,107
1/19/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,53
1/20/16,"Oct 1, 2015 - Jan 23, 2017",New Users,95
1/20/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,59
1/21/16,"Oct 1, 2015 - Jan 23, 2017",New Users,94
1/21/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,68
1/22/16,"Oct 1, 2015 - Jan 23, 2017",New Users,72
1/22/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,42
1/23/16,"Oct 1, 2015 - Jan 23, 2017",New Users,46
1/23/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,26
1/24/16,"Oct 1, 2015 - Jan 23, 2017",New Users,35
1/24/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,34
1/25/16,"Oct 1, 2015 - Jan 23, 2017",New Users,91
1/25/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,60
1/26/16,"Oct 1, 2015 - Jan 23, 2017",New Users,105
1/26/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,58
1/27/16,"Oct 1, 2015 - Jan 23, 2017",New Users,105
1/27/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,43
1/28/16,"Oct 1, 2015 - Jan 23, 2017",New Users,103
1/28/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,74
1/29/16,"Oct 1, 2015 - Jan 23, 2017",New Users,85
1/29/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,50
1/30/16,"Oct 1, 2015 - Jan 23, 2017",New Users,58
1/30/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,29
1/31/16,"Oct 1, 2015 - Jan 23, 2017",New Users,44
1/31/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,38
2/1/16,"Oct 1, 2015 - Jan 23, 2017",New Users,107
2/1/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,79
2/2/16,"Oct 1, 2015 - Jan 23, 2017",New Users,90
2/2/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,70
2/3/16,"Oct 1, 2015 - Jan 23, 2017",New Users,83
2/3/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,50
2/4/16,"Oct 1, 2015 - Jan 23, 2017",New Users,86
2/4/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,68
2/5/16,"Oct 1, 2015 - Jan 23, 2017",New Users,89
2/5/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,33
2/6/16,"Oct 1, 2015 - Jan 23, 2017",New Users,32
2/6/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,16
2/7/16,"Oct 1, 2015 - Jan 23, 2017",New Users,49
2/7/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,30
2/8/16,"Oct 1, 2015 - Jan 23, 2017",New Users,101
2/8/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,49
2/9/16,"Oct 1, 2015 - Jan 23, 2017",New Users,94
2/9/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,42
2/10/16,"Oct 1, 2015 - Jan 23, 2017",New Users,90
2/10/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,50
2/11/16,"Oct 1, 2015 - Jan 23, 2017",New Users,80
2/11/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,53
2/12/16,"Oct 1, 2015 - Jan 23, 2017",New Users,83
2/12/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,33
2/13/16,"Oct 1, 2015 - Jan 23, 2017",New Users,36
2/13/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,16
2/14/16,"Oct 1, 2015 - Jan 23, 2017",New Users,39
2/14/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,37
2/15/16,"Oct 1, 2015 - Jan 23, 2017",New Users,102
2/15/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,72
2/16/16,"Oct 1, 2015 - Jan 23, 2017",New Users,82
2/16/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,53
2/17/16,"Oct 1, 2015 - Jan 23, 2017",New Users,94
2/17/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,73
2/18/16,"Oct 1, 2015 - Jan 23, 2017",New Users,97
2/18/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,71
2/19/16,"Oct 1, 2015 - Jan 23, 2017",New Users,71
2/19/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,40
2/20/16,"Oct 1, 2015 - Jan 23, 2017",New Users,44
2/20/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,22
2/21/16,"Oct 1, 2015 - Jan 23, 2017",New Users,49
2/21/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,31
2/22/16,"Oct 1, 2015 - Jan 23, 2017",New Users,96
2/22/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,61
2/23/16,"Oct 1, 2015 - Jan 23, 2017",New Users,109
2/23/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,72
2/24/16,"Oct 1, 2015 - Jan 23, 2017",New Users,112
2/24/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,60
2/25/16,"Oct 1, 2015 - Jan 23, 2017",New Users,111
2/25/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,67
2/26/16,"Oct 1, 2015 - Jan 23, 2017",New Users,53
2/26/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,48
2/27/16,"Oct 1, 2015 - Jan 23, 2017",New Users,39
2/27/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,21
2/28/16,"Oct 1, 2015 - Jan 23, 2017",New Users,52
2/28/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,33
2/29/16,"Oct 1, 2015 - Jan 23, 2017",New Users,87
2/29/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,68
3/1/16,"Oct 1, 2015 - Jan 23, 2017",New Users,104
3/1/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,53
3/2/16,"Oct 1, 2015 - Jan 23, 2017",New Users,95
3/2/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,70
3/3/16,"Oct 1, 2015 - Jan 23, 2017",New Users,108
3/3/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,70
3/4/16,"Oct 1, 2015 - Jan 23, 2017",New Users,79
3/4/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,59
3/5/16,"Oct 1, 2015 - Jan 23, 2017",New Users,32
3/5/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,32
3/6/16,"Oct 1, 2015 - Jan 23, 2017",New Users,52
3/6/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,35
3/7/16,"Oct 1, 2015 - Jan 23, 2017",New Users,117
3/7/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,85
3/8/16,"Oct 1, 2015 - Jan 23, 2017",New Users,129
3/8/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,59
3/9/16,"Oct 1, 2015 - Jan 23, 2017",New Users,99
3/9/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,67
3/10/16,"Oct 1, 2015 - Jan 23, 2017",New Users,92
3/10/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,68
3/11/16,"Oct 1, 2015 - Jan 23, 2017",New Users,87
3/11/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,55
3/12/16,"Oct 1, 2015 - Jan 23, 2017",New Users,36
3/12/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,24
3/13/16,"Oct 1, 2015 - Jan 23, 2017",New Users,50
3/13/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,25
3/14/16,"Oct 1, 2015 - Jan 23, 2017",New Users,110
3/14/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,67
3/15/16,"Oct 1, 2015 - Jan 23, 2017",New Users,113
3/15/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,82
3/16/16,"Oct 1, 2015 - Jan 23, 2017",New Users,116
3/16/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,65
3/17/16,"Oct 1, 2015 - Jan 23, 2017",New Users,107
3/17/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,65
3/18/16,"Oct 1, 2015 - Jan 23, 2017",New Users,84
3/18/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,62
3/19/16,"Oct 1, 2015 - Jan 23, 2017",New Users,52
3/19/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,23
3/20/16,"Oct 1, 2015 - Jan 23, 2017",New Users,49
3/20/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,31
3/21/16,"Oct 1, 2015 - Jan 23, 2017",New Users,113
3/21/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,72
3/22/16,"Oct 1, 2015 - Jan 23, 2017",New Users,103
3/22/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,67
3/23/16,"Oct 1, 2015 - Jan 23, 2017",New Users,107
3/23/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,69
3/24/16,"Oct 1, 2015 - Jan 23, 2017",New Users,84
3/24/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,70
3/25/16,"Oct 1, 2015 - Jan 23, 2017",New Users,75
3/25/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,45
3/26/16,"Oct 1, 2015 - Jan 23, 2017",New Users,60
3/26/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,38
3/27/16,"Oct 1, 2015 - Jan 23, 2017",New Users,54
3/27/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,32
3/28/16,"Oct 1, 2015 - Jan 23, 2017",New Users,98
3/28/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,56
3/29/16,"Oct 1, 2015 - Jan 23, 2017",New Users,116
3/29/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,62
3/30/16,"Oct 1, 2015 - Jan 23, 2017",New Users,123
3/30/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,87
3/31/16,"Oct 1, 2015 - Jan 23, 2017",New Users,95
3/31/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,55
4/1/16,"Oct 1, 2015 - Jan 23, 2017",New Users,81
4/1/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,58
4/2/16,"Oct 1, 2015 - Jan 23, 2017",New Users,49
4/2/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,25
4/3/16,"Oct 1, 2015 - Jan 23, 2017",New Users,60
4/3/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,44
4/4/16,"Oct 1, 2015 - Jan 23, 2017",New Users,101
4/4/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,43
4/5/16,"Oct 1, 2015 - Jan 23, 2017",New Users,126
4/5/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,58
4/6/16,"Oct 1, 2015 - Jan 23, 2017",New Users,141
4/6/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,64
4/7/16,"Oct 1, 2015 - Jan 23, 2017",New Users,109
4/7/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,41
4/8/16,"Oct 1, 2015 - Jan 23, 2017",New Users,84
4/8/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,47
4/9/16,"Oct 1, 2015 - Jan 23, 2017",New Users,58
4/9/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,22
4/10/16,"Oct 1, 2015 - Jan 23, 2017",New Users,58
4/10/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,33
4/11/16,"Oct 1, 2015 - Jan 23, 2017",New Users,118
4/11/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,75
4/12/16,"Oct 1, 2015 - Jan 23, 2017",New Users,115
4/12/16,"Oct 1, 2015 - Jan 23, 2017",Returning Users,71
4/13/16,"Oct 1, 2015 - Jan 23, 2017",New Users,112
